Designator,Mid X,Mid Y,Rotation,Layer
B101,138.896,-91.27,0.0,top
C101,120.396,-73.366,270.0,top
C102,112.156,-73.366,270.0,top
C103,103.886,-73.366,270.0,top
F101,109.982,-80.01,0.0,top
J101,121.158,-66.294,270.0,top
J102,107.146,-86.8995,90.0,top
J103,114.342,-66.294,270.0,top
J104,118.11,-84.014,270.0,top
J105,101.092,-103.094,180.0,top
J106,107.442,-66.31,270.0,top
J107,114.046,-116.697,0.0,top
J108,123.206,-116.332,0.0,top
J109,135.89,-118.11,90.0,top
J110,135.89,-95.25,270.0,top
J111,143.129,-75.057,180.0,top
J112,135.636,-90.932,90.0,top
LED101,106.68,-117.602,0.0,top
Q101,119.702,-103.886,180.0,top
R101,123.444,-73.406,90.0,top
R102,117.348,-73.406,270.0,top
R103,106.934,-107.188,90.0,top
R104,104.648,-107.188,90.0,top
R105,115.204,-73.406,90.0,top
R106,109.108,-73.406,270.0,top
R107,106.934,-73.406,90.0,top
R108,100.838,-73.406,270.0,top
R109,123.444,-109.22,270.0,top
R110,121.158,-109.22,270.0,top
R111,118.872,-109.22,270.0,top
R112,137.16,-85.852,0.0,top
R113,137.16,-83.566,0.0,top
R114,137.16,-81.28,0.0,top
R115,137.16,-71.247,0.0,top
R116,137.16,-68.961,0.0,top
U101,158.6,-90.06,0.0,top
