Designator,Footprint,Quantity,Value,LCSC Part #
"_4, _3, _2, ",,4,,
A101,RaspberryPi_Pico_Common_Unspecified,1,RaspberryPi_Pico,
C201,1206,1,10u,C13585
"C202, C301, C302",0805,3,0.1u,C28233
C203,1206,1,10uF,C13585
C204,0805,1,100nF,C28233
"D101, D203",D_SOD-123,2,D_Schottky,C8598
D102,0805,1,power,C2297
D201,0805,1,H_BATT,C84256
D202,0805,1,Heater,C2296
J101,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,pico LiPo,
J201,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,1,heater LiPo,
J202,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,1,heater,
J203,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,heater_SW_EX,
J301,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,THR1,
J302,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,THR2,
Q201,Nch mosfet TK7R4A10PL,1,Nch,
R101,0805,1,1k,C17513
"R201, R206",0805,2,1k,
R202,0805,1,22k,C17560
R203,0805,1,4.7k,C17673
"R204, R208, R209",0805,3,10k,C17414
R205,0805,1,100,C17408
R207,2512,1,20mΩ,C105360
"R210, R211",0805,2,10,C17415
"R301, R302",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,100k,
SW101,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,1,power,
SW201,SW_slide,1,heater_SW,
U201,VSSOP-10_3x3mm_P0.5mm,1,INA226,C49851
