Ref,Val,Package,PosX,PosY,Rot,Side
"","","",114.500000,-115.500000,0.000000,top
"","","",114.500000,-64.500000,0.000000,top
"","","",165.500000,-64.500000,0.000000,top
"","","",165.500000,-115.000000,0.000000,top
"A1","RaspberryPi_Pico","RaspberryPi_Pico_Common_Unspecified",130.000000,-90.000000,0.000000,top
"C201","10u","C_1206_3216Metric",161.000000,-96.000000,90.000000,top
"C301","0.1u","C_0805_2012Metric",144.500000,-83.500000,-90.000000,top
"D101","D_Schottky","D_SOD-123",145.000000,-68.500000,0.000000,top
"D102","power","LED_0805_2012Metric",156.500000,-71.500000,180.000000,top
"D201","H_BATT","LED_0805_2012Metric",165.000000,-100.000000,0.000000,top
"D202","Heater","LED_0805_2012Metric",160.000000,-83.000000,0.000000,top
"D203","D_Schottky","D_SOD-123",159.000000,-102.500000,90.000000,top
"J101","pico LiPo","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",156.000000,-63.500000,0.000000,top
"J201","heater LiPo","JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical",155.750000,-114.475000,0.000000,top
"J202","heater","JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical",165.000000,-108.000000,90.000000,top
"J203","heater_SW_EX","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",146.000000,-114.000000,0.000000,top
"J301","Thermistor","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",161.500000,-76.000000,-90.000000,top
"Q201","Nch","Nch mosfet TK7R4A10PL",152.000000,-108.000000,0.000000,top
"R101","1k","R_0805_2012Metric",149.500000,-68.500000,180.000000,top
"R201","1k","R_0805_2012Metric",159.500000,-108.087500,-90.000000,top
"R202","10k","R_0805_2012Metric",143.500000,-90.500000,0.000000,top
"R203","4.7k","R_0805_2012Metric",143.500000,-94.000000,180.000000,top
"R204","10k","R_0805_2012Metric",144.000000,-103.500000,0.000000,top
"R205","100","R_0805_2012Metric",143.500000,-108.500000,0.000000,top
"R206","1k","R_0805_2012Metric",159.000000,-88.000000,90.000000,top
"R301","100k","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",155.040000,-80.500000,180.000000,top
"SW101","power","SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm",146.960000,-62.500000,0.000000,top
"SW201","heater_SW","SW_slide",166.000000,-89.960000,90.000000,top
