Designator,Mid X,Mid Y,Rotation,Layer
_4,114.5,-115.5,0.0,top
_3,114.5,-64.5,0.0,top
_2,165.5,-64.5,0.0,top
,165.5,-115.0,0.0,top
A101,130.0,-89.915,0.0,top
C201,150.495,-108.585,180.0,top
C202,160.147,-99.314,0.0,top
C203,157.226,-100.584,90.0,top
C204,156.972,-104.775,90.0,top
C301,144.272,-84.328,270.0,top
C302,144.272,-80.772,90.0,top
D101,145.288,-67.056,0.0,top
D102,155.702,-70.358,180.0,top
D201,160.4795,-95.504,0.0,top
D202,158.877,-85.598,0.0,top
D203,157.607,-90.551,90.0,top
J101,157.0,-63.5,0.0,top
J201,156.19,-115.481,0.0,top
J202,146.665,-115.481,0.0,top
J203,165.058,-107.315,90.0,top
J301,165.1,-73.168,270.0,top
J302,164.084,-80.788,90.0,top
Q201,151.257,-102.997,0.0,top
R101,150.114,-67.056,180.0,top
R201,162.941,-99.949,90.0,top
R202,143.5,-90.5,0.0,top
R203,143.383,-95.631,180.0,top
R204,143.891,-105.283,0.0,top
R205,143.764,-108.712,0.0,top
R206,161.544,-88.773,90.0,top
R207,156.845,-109.093,180.0,top
R208,144.272,-100.33,0.0,top
R209,144.145,-102.743,180.0,top
R210,146.558,-110.109,90.0,top
R211,146.685,-106.172,90.0,top
R301,148.971,-72.771,180.0,top
R302,148.971,-76.2,180.0,top
SW101,147.193,-62.992,0.0,top
SW201,166.497,-93.091,90.0,top
U201,160.401,-103.632,270.0,top
